Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"Fifty Fifty (Harriet Blue) Hardcover – February 19, 2018",16.79,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,316513229,,"Little, Brown and Company (February 19, 2018)",English,6.4 x 1.4 x 9.6 inches,1.4 pounds,3.7
"Erotic Stories for Punjabi Widows: A Novel Paperback – March 6, 2018",10.17,Books > Literature & Fiction > Genre Fiction,Balli Kaur Jaswal,62645110,320,"William Morrow Paperbacks; Reprint edition (March 6, 2018)",English,5.3 x 0.7 x 8 inches,8 ounces,4
"You're Only Old Once!: A Book for Obsolete Children Hardcover – January 27, 2009",11.60,Books > Humor & Entertainment > Humor,Dr. Seuss,394551907,,Random House; 1st edition (March 1986),English,8.4 x 0.4 x 11.4 inches,11.2 ounces,4.5
"The Kremlin's Candidate: A Novel (The Red Sparrow Trilogy) Hardcover – February 13, 2018",18.35,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501140086,,"Scribner (February 13, 2018)",English,6 x 1.2 x 9 inches,1.3 pounds,3.9
"Lilac Girls: A Novel Paperback – February 28, 2017",12.61,Books > Literature & Fiction > Genre Fiction,Martha Hall Kelly,1101883081,512,"Ballantine Books; Reprint edition (February 28, 2017)",English,5.2 x 1.1 x 7.9 inches,13.4 ounces,4.6
"One Hundred Years of Solitude (Harper Perennial Modern Classics) Paperback – February 21, 2006",10.69,Books > Literature & Fiction > World Literature,Gabriel Garcia Marquez Gregory Rabassa,60883286,417,"Harper Perennial Modern Classics; Reprint edition (February 21, 2006)",English,5.3 x 1 x 8 inches,1.3 pounds,4
"Last Shot (Star Wars): A Han and Lando Novel Hardcover – April 17, 2018",24.20,Books > Literature & Fiction > Genre Fiction,Daniel José Older,525622136,,"Del Rey (April 17, 2018)",English,6.1 x 0.9 x 9.2 inches,1.4 pounds,
"The Secret Paperback – January 16, 2015",26.43,Books > Humor & Entertainment > Puzzles & Games,Byron Preiss,1596874015,226,"iBooks (January 16, 2015)",English,6 x 0.5 x 9 inches,12.8 ounces,2.9
"The Witcher Boxed Set: Blood of Elves, The Time of Contempt, Baptism of Fire Paperback – October 3, 2017",25.33,Books > Literature & Fiction > Action & Adventure,Andrzej Sapkowski,316438979,1216,"Orbit; Translation edition (October 3, 2017)",English,5.5 x 3.2 x 8.4 inches,2.3 pounds,4.4
"How to Stop Time Hardcover – February 6, 2018",17.10,Books > Literature & Fiction > Genre Fiction,Matt Haig,525522875,,"Viking; 1st Edition edition (February 6, 2018)",English,5.9 x 1.1 x 8.6 inches,15.8 ounces,4.3
"Tales From the Yawning Portal (Dungeons & Dragons) Hardcover – April 4, 2017",25.77,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,786966092,,"Wizards of the Coast (April 4, 2017)",English,8.5 x 0.6 x 11.2 inches,1.3 pounds,4.5
"Tomb of Annihilation (Dungeons & Dragons) Hardcover – September 19, 2017",34.75,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,786966106,,"Wizards of the Coast (September 19, 2017)",English,8.5 x 0.7 x 11.2 inches,1.9 pounds,4.7
"Armada: A novel by the author of Ready Player One Paperback – April 12, 2016",12.80,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ernest Cline,804137277,384,"Broadway Books; Reprint edition (April 12, 2016)",English,5.2 x 0.8 x 8 inches,13.6 ounces,3.6
"The Three-Body Problem Paperback – January 12, 2016",4.85,Books > Literature & Fiction > World Literature,Cixin Liu,765382032,416,"Tor Books (January 12, 2016)",English,6.2 x 1.1 x 9.2 inches,15.5 ounces,4.2
